n,a,b
3,0.6122878161467157,0.3074780053556912
4,1.2711879043855512,0.8787023080261966
5,2.298361668749314,2.008237221317473
6,3.2709146130287468,2.9410756601621197
7,3.7210085325900892,3.421693381128636
8,3.9715564982551395,3.6174053059647133
9,4.100822340144324,3.7421873102875196
10,4.191799551112329,3.804779929884147
11,4.242896247942155,3.850165975188355
12,4.277146658267427,3.8731243420354504
13,4.299996904672298,3.8958954884971466
14,4.310808646992585,3.9043542824911617
15,4.319482644109891,3.914567660999352
16,4.324802699014197,3.9211769690159333
17,4.326771552931464,3.9278648801357345
18,4.330480384858481,3.9347309418970107
19,4.330729949057743,3.9391439738073393
20,4.332433357312527,3.945794196544688
21,4.3340762168280795,3.951786073041033
22,4.335853036183984,3.958163536409033
23,4.335674871504238,3.962559660243952
24,4.338322303580217,3.9681117296491464
25,4.338945809456746,3.9730676118119477
26,4.34115311848923,3.9780217279050127
27,4.342312080983343,3.983395342248592
28,4.346621844676896,3.987605705900322
29,4.3511003568300755,3.993582198992105
30,4.353361614026808,3.9986628404902222
31,4.355580796866605,4.003415064325166
32,4.359076861505161,4.010373420920296
33,4.365089324047687,4.0168105619040695
34,4.368458608862979,4.0208777928856785
35,4.371987010078044,4.024250817048495
36,4.376032756610521,4.031714304953865
37,4.377369082408318,4.032859751081544
38,4.380146480757835,4.036633545654362
39,4.388146238090192,4.043308992564198
40,4.390521116487768,4.04598950337665
41,4.398174600061335,4.05248902296346
42,4.404075393600547,4.058492316369382
43,4.410320822961215,4.063718568637318
44,4.412442732831804,4.065813940615318
45,4.416683178138604,4.068153956483939
46,4.421268547971272,4.071808099989811
47,4.42794422001299,4.077393970957541
48,4.432220265077013,4.08227037724704
49,4.439773709721151,4.087138690337571
50,4.443358015408687,4.090441278699153
51,4.451820510039948,4.095761106572874
52,4.454261141860719,4.097648950054552
53,4.460019441517549,4.1025772517402235
54,4.4662924505527375,4.105958760571653
55,4.472471612585761,4.111492799318456
56,4.476204485349611,4.111367451963373
57,4.4858572068965,4.118679474242696
58,4.490603708690227,4.1233327283069405
59,4.493516879588875,4.122794082804416
60,4.4984489958634635,4.124691864682146
61,4.506061083359991,4.131961977466024
62,4.510400775571283,4.132733550030343
63,4.5186229177032535,4.137793884353918
64,4.520722436168256,4.137967048018053
65,4.527232910790108,4.142661638788482
66,4.536137785239643,4.148216968400039
67,4.543274817065363,4.152512958995404
68,4.546455863753853,4.1540015934845105
69,4.550606391105583,4.154571943117852
70,4.556483959362909,4.158455751185874
71,4.5641393691504994,4.161324250719477
72,4.570323798152406,4.164719055627811
73,4.575110810934023,4.167661040107135
74,4.582331615119361,4.1708783808314775
75,4.584804362391027,4.170764115229593
76,4.592301086067505,4.175034638024543
77,4.599664835805393,4.178630357689107
78,4.6026998764099725,4.179793484301591
79,4.6093271542844905,4.18251274017
80,4.617952901976151,4.186807898074558
81,4.624661606234375,4.191781593641085
82,4.630389027239024,4.194057074540244
83,4.638526991135102,4.197709539924913
84,4.6462924362566325,4.202370931099472
85,4.650728398425648,4.203155849917232
86,4.654488596088472,4.204539555786921
87,4.660491597171921,4.207128233264654
88,4.6669918672960415,4.208780296250292
89,4.673244015204392,4.213336468961207
90,4.680995970516966,4.2162160249604
91,4.6845087964078775,4.216948696959805
92,4.690175045866957,4.219237272818409
93,4.697120693139846,4.2222211665122
94,4.701346865690168,4.2223610281167385
95,4.710250094017636,4.22709737288652
96,4.711905292134057,4.226416825260804
97,4.720322013472795,4.231164129151921
98,4.726408504589236,4.2309471999501085
99,4.736422827827221,4.237254785754936
100,4.74054076066558,4.238375513998897
